time,deltat0,end   
3.842,0.080,0
345.392,0.086,0
687.873,0.068,0
1030.31,0.054,0
1372.59,0.041,0
1714.85,0.042,0
2057.25,0.070,0
2399.59,0.043,0
2742.03,0.072,0
3085.25,0.044,0
3428.99,0.030,0
3772.94,0.060,0
4116.59,0.076,0
4461.36,0.062,0
4806.64,0.047,0
5152.27,0.032,0
5498.1 ,0.033,0
5844.39,0.059,0
6191.27,0.046,0
6538.59,0.053,0
6886.12,0.055,0
7235.32,0.038,0
7584.92,0.068,0
7935.61,0.096,0
8287.6 ,0.084,0
8641.12,0.088,0
8995.52,0.075,0
9351.63,0.042,0
9709.3 ,0.000,0
10069.3,0.054,0
10431.1,0.086,0
10796.3,0.154,0
11164.7,0.234,0
11536.4,0.293,0
11913.3,0.386,0
12296.4,0.504,0
12687.6,0.569,0

	






































