time,deltat1,end  
3.842,0.853,0
345.392,0.947,0
687.873,0.919,0
1030.31,0.953,0
1372.59,0.948,0
1714.85,0.964,0
2057.25,0.981,0
2399.59,0.964,0
2742.03,1.004,0
3085.25,0.989,0
3428.99,1.033,0
3772.94,1.019,0
4116.59,1.067,0
4461.36,1.086,0
4806.64,1.012,0
5152.27,1.082,0
5498.1 ,1.123,0
5844.39,1.175,0
6191.27,1.255,0
6538.59,1.283,0
6886.12,1.375,0
7235.32,1.456,0
7584.92,1.574,0
7935.61,1.616,0
8287.6 ,1.559,0
8641.12,1.625,0
8995.52,1.706,0
9351.63,1.906,0
9709.3 ,1.985,0
10069.3,2.374,0
10431.1,2.560,0
10796.3,2.874,0
11164.7,2.945,0
11536.4,3.369,0
11913.3,4.203,0
12296.4,5.635,0
12687.6,2.183,0
